,riesgo,retorno,phi
4,0.5590272813710203,0.0497321061630541,0.15848931924611134
5,0.49823738990777366,0.044346111336402066,0.1778279410038923
6,0.4440588058606102,0.03954583839436493,0.19952623149688797
7,0.3957726123210395,0.03526759063147632,0.22387211385683395
8,0.3527380808163485,0.03145459829923322,0.251188643150958
9,0.3143841692294749,0.028056265306024793,0.28183829312644537
10,0.28020194441341667,0.025027497837736924,0.31622776601683794
11,0.24973782895243948,0.022328105990236394,0.35481338923357547
12,0.22258758245808608,0.019922270473760967,0.3981071705534972
13,0.19839093753457104,0.017778067312706758,0.44668359215096315
14,0.17682681923485014,0.015867044233867852,0.5011872336272722
15,0.15760908457071268,0.01416384312205745,0.5623413251903491
16,0.1404827255403385,0.012645863533325991,0.6309573444801934
17,0.12522048528634983,0.011292962800801217,0.7079457843841379
18,0.11161984247797102,0.010087188753736692,0.7943282347242815
19,0.09950032389503918,0.00901254150311312,0.8912509381337455
20,0.08870110954386616,0.008054761132832025,1.0
21,0.07907889851278153,0.0072011384792929345,1.1220184543019636
22,0.070506007229601,0.006440346488514027,1.2589254117941675
23,0.06286867485951692,0.005762289913007719,1.412537544622754
24,0.056065553320006616,0.005157971353980001,1.5848931924611134
25,0.05000636182456092,0.004619371871314958,1.7782794100389228
26,0.04461068803023934,0.004139344577111441,1.9952623149688797
27,0.03980691978214428,0.0037115198008228164,2.23872113856834
28,0.035531293144043206,0.0033302205675987944,2.5118864315095797
29,0.03172704389836934,0.0029903872682782917,2.8183829312644537
30,0.028343651007565186,0.0026875105214499055,3.1622776601683795
31,0.025336161666813677,0.0024175713367003164,3.548133892335755
32,0.022664588559106618,0.0021769877850532997,3.981071705534973
33,0.020293370761576297,0.001962567468948461,4.46683592150963
34,0.018190890465163975,0.0017714651610651892,5.011872336272722
35,0.016329038284624776,0.0016011450498847665,5.623413251903491
36,0.014682820494069989,0.0014493470910121751,6.309573444801933
37,0.013230002088519151,0.0013140570177600894,7.07945784384138
38,0.011950780236320095,0.0011934796130537266,7.943282347242813
39,0.010827483570103574,0.0010860148879910168,8.912509381337454
40,0.009844293994580118,0.0009902368509624058,10.0
41,0.008938732471881455,0.0008999949865114614,11.220184543019629
42,0.007997708672894522,0.0008052696706774714,12.589254117941675
43,0.007127948136880783,0.0007176956153795362,14.12537544622754
44,0.006352901982855971,0.0006396581197232799,15.848931924611142
45,0.00566202746684802,0.0005700956591168461,17.78279410038923
46,0.005045582163674131,0.0005080272742640983,19.952623149688787
47,0.004497416944344127,0.0004528338812993348,22.3872113856834
48,0.004008000296884915,0.00040355571157929434,25.118864315095795
49,0.0035725220844219515,0.00035970848686377665,28.18382931264455
50,0.0031840135303843565,0.00032059051339730323,31.622776601683793
51,0.0028374302763737305,0.0002856938889233345,35.481338923357534
52,0.0025290778171271357,0.0002546466422723723,39.810717055349734
53,0.00225410466259965,0.00022696027015093142,44.6683592150963
54,0.0020088525877719975,0.00020226643882621825,50.11872336272725
55,0.0017904980933978135,0.000180280861719521,56.23413251903491
56,0.0015957301229003224,0.00016067015206648892,63.0957344480193
57,0.0014222454614033313,0.00014320240736862065,70.79457843841381
58,0.0012675663003677046,0.00012762814197538486,79.43282347242814
59,0.0011297310500333379,0.00011374984869745968,89.12509381337459
60,0.001006865866334823,0.00010137885466940352,100.0
61,0.0008973487004538816,9.035183967645523e-05,112.2018454301963
62,0.0007997860533503264,8.052849618814648e-05,125.89254117941675
63,0.0007127583362191913,7.176588806271744e-05,141.2537544622754
