Date,BTC-USD,GC=F,MXN=X,^MXX
2021-01-05,0.06319658000613337,0.004113745153939696,0.0047839638755518,0.004588530831264093
2021-01-06,0.08331071417326141,-0.023454666821867143,-0.002018251103453106,0.015120629542314745
2021-01-07,0.0691574669750421,0.002831834047367865,-0.012382115648256753,0.01319450472322381
2021-01-08,0.0362338992996023,-0.040893202554750374,0.017518003385447622,0.011705051048700899
2021-01-11,-0.12821714814019047,0.008451011507727868,0.0025194996820465665,-0.00714713173889403
2021-01-12,-0.046214502171538774,-0.00362237849281577,0.0005940698981976578,-0.009560248280697792
2021-01-13,0.10003249550509552,0.005806039953402786,-0.01335687793554885,-0.004605287150173498
2021-01-14,0.050138030111625875,-0.001780279888474512,0.0021177527577134203,0.007231321498703869
2021-01-15,-0.06027358971670127,-0.011349510590620282,-0.005696560371385995,-0.003877260198337229
2021-01-19,-0.02051744646979292,0.0055758765099303,-0.0014044482026196459,-0.008647883324605976
2021-01-20,-0.014473454791977813,0.01435173928462219,-0.0030286088977806713,-0.00812607727857162
2021-01-21,-0.1328368400602007,-0.0003215475524342981,-0.0025967178566436155,-0.006991579599421094
2021-01-22,0.07072224005462169,-0.005146677427195323,0.0077635913490463615,-0.002826591386205779
2021-01-25,-0.01937144023741122,-0.00043106470812126485,0.010428102154793839,0.009913288665633013
2021-01-26,0.006286058316783416,-0.002264312462616047,0.008137674229636627,-0.0016166355922806463
2021-01-27,-0.06562212475675022,-0.0031339098237614937,-0.005812881804483694,-0.017569020066481644
2021-01-28,0.09968113394222766,-0.0037942435402282815,0.017171509746626512,0.0004229078000101971
2021-01-29,0.02540747568580648,0.005114546106532281,-0.0038993104510619547,-0.029245226677412473
2021-02-02,0.03479102720035687,-0.009094380113713774,0.005723293588291378,0.02008088258212859
2021-02-03,0.055245981743407446,0.0009286813285305229,-0.011315709975163846,0.002466387607164
2021-02-04,-0.014571470120209207,-0.023632751834819055,0.0029497220292131754,0.004788940914475237
2021-02-05,0.032991388091470286,0.012298060092657215,0.00941270951877149,-0.0004953612395970364
2021-02-08,0.21109718715203973,0.011596443600907724,-0.01352813736374825,0.0011736703895719458
